fact_checked_segment	comment_by_fact-checker	article
“Because the collapse of vulnerable parts of the ice sheet could raise the sea level dramatically, the continued existence of the world’s great coastal cities — Miami, New York, Shanghai and many more — is tied to Antarctica’s fate.”	This is the prime motive of understanding Antarctic ice sheet dynamics, especially since the far-field location gives Antarctica relatively more weight to sea level rise along many Northern Hemisphere cities than Greenland.	article62.txt
“about 56 million years ago … The planet proceeded to warm rapidly, at least in geologic terms, and major die-offs of some marine organisms followed due to strong acidification of the oceans.” 	There are several potential causes for the benthic extinctions that are seen in sediment cores. In addition to acidification, abrupt warming of bottom waters, decrease in dissolved oxygen and a potential decrease in food availability (raining down from surface layers) have been put forward in the past (e.g. Thomas [2003] Extinction and food at the seafloor…; Thomas [2007] Cenozoic mass extinctions in the deep sea…; Sluijs et al. [2007] The Palaeocene–Eocene Thermal Maximum super greenhouse…; McInerney and Wing [2011] The Paleocene-Eocene Thermal Maximum: A Perturbation of Carbon Cycle, Climate, and Biosphere with Implications for the Future).	
“Because the collapse of vulnerable parts of the ice sheet could raise the sea level dramatically, the continued existence of the world’s great coastal cities — Miami, New York, Shanghai and many more — is tied to Antarctica’s fate.”	The vulnerable parts of the ice sheet are those that resting on beds that are below sea level; therefore, the ice itself is in contact with a warming ocean. The majority of the West Antarctic and ~30% of the East Antarctic sectors of the ice sheet are grounded below sea level. 	article62.txt
nothing we can do to stop the Earth’s naturally occurring climate cycles.	Actually, studies suggest that we may already have postponed the next ice age by adding extra CO2 to the atmosphere which will take a long time to be removed by natural processes, and hence has committed the Earth to warmer temperatures than it would otherwise have had.	
“Warm weather worsened the most recent five-year drought, which included the driest four-year period on record in terms of statewide precipitation. California’s first-, second- and third-hottest years on record, in terms of statewide average temperatures, were 2014, 2015 and 2016.”	There is evidence that warmer temperatures across the globe affect large-scale atmospheric dynamics, which in turn feed into regional weather patterns. The relevant example here is the argument that a warming Arctic will reduce large-scale temperature gradients in the atmosphere, which will in turn affect (and be affected by) the complex path that storms follow across the Pacific Ocean as they approach the North American west coast. While the extent to which this has already happened is debatable*, there is agreement that it will be a robust signal if Arctic warming continues unabated*. Cohen et al (2014) Recent Arctic amplification and extreme mid-latitude weather, Nature Geoscience Overland et al (2015) Nonlinear response of mid-latitude weather to the changing Arctic, Nature Climate Change Screen (2017) Climate science: Far-flung effects of Arctic warming, Nature Geoscience 	article57.txt
“Most people expect this year will see a record low in the Arctic’s summer sea-ice cover.”	This is incorrect. The SIPN team (Sea Ice Prediction Network) have collected forecasts from 40 international groups and none are predicting a record low in 2016.	article33.txt
I conclude that it must be ice accumulation, through evaporation of ocean water, and subsequent precipitation turning into ice. Evidence suggests that accumulation of ice on the Antarctic continent has been offsetting the steric effect for at least several centuries.	Satellite data show that mountain glaciers as well as the large ice sheets on Greenland and Antarctica are all losing ice mass in recent decades, at an accelerating rate. Check out NASA’s data: Figure – GRACE Satellite measurements of ice mass variations in Antarctica and Greenland since 2003.	article99.txt
“Sea ice thickness also substantially declined in the latter half of the 20th century, the snow and ice data center said.”	This is an important change to emphasize because sea ice thickness is also an indicator of sea ice age. While thin sea ice can reform more quickly year to year, thick sea ice requires more time. The loss of thick sea ice is perhaps even more striking than the loss of ice area.	article47.txt
“On Tuesday, the National Oceanic and Atmospheric Administration (Noaa) is set to classify the Louisiana disaster as the eighth flood considered to be a once-in-every-500-years event to have taken place in the US in little over 12 months.”	This last sentence seems to imply that this is exceptional. However, in a country as large as the USA, it is very well possible to have multiple events each year, that exceed 100 or 500-year frequency thresholds for a particular location. Note that for this case, for multiple locations, the 500-year rainfall amount was exceeded, which is indeed exceptional.	article32.txt
Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature.”	Instrumental temperature measurements over the last 150 years record weather/climate that is influenced by more than ONLY CO2. Natural variation must also be considered, including semi- to multi-decadal processes involving the ocean and atmosphere (e.g. El Niño-Southern Oscillation)	
“Typically, in such an attribution study, scientists will use sets of climate models — one set including the factors that drive human global warming and the other including purely “natural” factors — and see if an event like the one in question is more likely to occur in the first set of models. Researchers are getting better and better at performing these kinds of studies fast, in near real time.”	This is an accurate description of how extreme event attribution studies are conducted.	
spanning five countries	Going quickly through the authors I identified 7 countries: Brasil, US, France, Austria, Italy, Canada, United Kingdom (the list might not be complete).	article112.txt
“At the bottom of the world, sea ice is also at all-time record low levels around Antarctica, the data center said. The lack of ice in the Antarctic, where it is currently summer, is most pronounced in the Amundsen Sea, where only a few scattered patches of ice remain.”	This short example reveals why sea ice extent is a useful, but not sufficient diagnostic to characterize the recent sea ice variability.	article47.txt
“Incorporating recent advances in the understanding of how ice sheets might break apart, they found that both West Antarctica and some vulnerable parts of East Antarctica would go into an unstoppable collapse if the Earth continued to warm at a rapid pace. In their worst-case scenario, the sea level could rise by six feet by the end of this century, and the pace could pick up drastically in the 22nd century. Dr. DeConto and Dr. Pollard do not claim that this is a certainty — they acknowledge that their analysis is still rough — but they argue that the possibility should be taken seriously.”	Related to my earlier comment, the relevance of the “Marine Ice Cliff Instability” is still very unclear, and not generally accepted in the ice-sheet modeling community. DeConto and Pollard’s sea-level estimates certainly fall in the high end of sea-level rise projections. However, other processes such as non-linearities in melt or basal sliding may provide similar high-end estimates.	
“An “inherent bias” in scientific journals in favour of more calamitous predictions has excluded research showing that marine creatures are not damaged by ocean acidification, which is caused by the sea absorbing carbon dioxide from the atmosphere.” 	This is an inflammatory twisting of the author’s words. Browman discusses the well-known bias against publication of negative results. It has nothing to do with the direction of the signal, only the inability of the researchers to demonstrate an effect in their experiments. It has nothing to do with how “calamitous” the predictions are. In fact, sometimes the negative results would have been more calamitous depending on the experimental design.	
“For example, the Arctic heatwaves are made tens of times more likely and the soaring temperatures seen in Australia in February were made twice as likely.”	This statement is referring to rapid attribution analyses that were conducted by the World Weather Attribution group. We found that the Arctic heat of late 2016 was made much more likely by human-induced climate change (although it remains a very unusual event in the current climate). In another analysis, we found the February heatwave in New South Wales was at least twice as likely to occur because of climate change.	article54.txt
“The ocean has accelerated and is now rising at a rate of about a foot per century[…] The risk is that the rate will increase still more. Scientists who study the Earth’s history say waters could rise by a foot per decade in a worst-case scenario, though that looks unlikely. Many experts believe that even if emissions stopped tomorrow, 15 or 20 feet of sea level rise is already inevitable, enough to flood many cities unless trillions of dollars are spent protecting them. How long it will take is unclear. But if emissions continue apace, the ultimate rise could be 80 or 100 feet.”	It is accurate to say sea-level rise is approximately one foot per century. Present-day sea-level rise is a major indicator of climate change. Since the early 1990s, sea level rose at a mean rate of ~3.1 mm/yr (~1 foot over 100 years). It is virtually certain that global mean sea level rise will continue for many centuries beyond 2100, with the amount of rise dependent on future emissions. The latest IPCC report estimates 1 to more than 3 m (up to ~10 feet) for high emission scenarios by 2300. But, those projections of sea-level rise may be limited by uncertainties surrounding the response of the Greenland and Antarctic ice sheets. For example, the report projected a likely contribution of the Antarctic ice sheet (AIS) of -8 to +15 cm under the high emissions scenario by 2100, but a recent coupled ice sheet and climate dynamics model suggests that the AIS could contribute more than 1 m by 2100, and more than 10 m by 2300, under that high emissions scenario.	
“CO2 is certainly a heat-trapping greenhouse gas, but hardly the primary one: Water vapor accounts for about 95 percent of greenhouse gases. By contrast, carbon dioxide is only a trace component in the atmosphere: about 400 ppm (parts per million), or 0.04 percent.”	Another helpful quote comes from this article: “The contribution of CO2 to the greenhouse effect, considerable though it is, understates the central role of the gas as a controller of climate. The atmosphere, if CO2 were removed from it, would cool enough that much of the water vapor would rain out. That precipitation, in turn, would cause further cooling and ultimately spiral Earth into a globally glaciated snowball state. It is only the present of CO2 that keeps Earth’s atmosphere warm enough to contain much water vapor.” I like to think of CO2 as analogous to a military commander and water vapor as analogous to an army of foot soldiers. Even though the water vapor foot soldiers do most of the fighting, the CO2 commander sends the army to battle.	article52.txt
The ­atmospheric residency time of carbon dioxide is five years and it is quickly sequestered into plants, marine life, oceans and sediments.	There are many papers that looked at the time it would take for natural negative feedbacks to remove the excess carbon from the atmosphere. It would take millennia*. Eby et al (2008) Lifetime of Anthropogenic Climate Change: Millennial Time Scales of Potential CO2 and Surface Temperature Perturbations, Journal of Climate 	
to avoid runaway climate change	I agree, “runaway climate change” is too strong here. It has a precise definition. Warming beyond 2°C, say by 3 or 4°C, is bad, but not the same as “runaway” (which, in my view at least, means that warming would then take a dynamics of its own, stop responding to any emission changes and slip up to several more degrees….).	article112.txt
This scientist proved climate change isn’t causing extreme weather 	The title is misleading. He didn’t prove anything. He’s simply claiming there are not yet definitive links between climate change and some extreme events. I would refer the readers to the most recent National Climate Assessment1 for a broader and longer list of salient impacts of climate change beyond the short and narrow selection quoted. 1 – US NCA (2018) Volume II: Impacts, Risks, and Adaptation in the United States 	article128.txt
“Two degrees is more significant than it sounds. […]The number may sound low, but as an average over the surface of an entire planet, it is actually high”	Note that the warming over land is about twice as large as the warming over the ocean. Over the ocean, more of the additional heat goes into evaporation of water rather than warming of the air. It furthermore takes time to heat up the oceans, just like a water kettle takes time to boil. Because there is more land in the Northern Hemisphere, it will warm more than the Southern Hemisphere. One way to see how much of a difference two degrees makes is to look at a region closer to the equator that is two degrees warmer. Nature will look very different.	
“The IPCC reports also don’t fully account for the albedo effect (less ice means less reflected and more absorbed sunlight, hence more warming); more cloud cover (which traps heat); or the dieback of forests and other flora (which extract carbon from the atmosphere). Each of these promises to accelerate warming”	“More cloud cover (which traps heat)” is a gross over-simplification regarding the role of clouds as a tuning knob for Earth’s climate. While it is true that clouds can act as a blanket and trap more heat, they also serve to reflect sunlight (see the prior sentence regarding the albedo effect). Which cloud effect ultimately wins out has to do with the optical thickness of the cloud (how reflective it is) and (as a rough approximation), the cloud height. As a quick rule: Higher clouds will act better as a blanket since they are both colder (and therefore radiate less energy to space) and typically optically thin. Conversely, lower clouds act more as a reflector since they are warmer and optically thick. The IPCC report does generally show a net positive cloud feedback, indicating global cloud feedbacks will lead to additional warming, but cloud feedbacks are extremely complicated and highly uncertain.	
“The arc of global warming will be variously steep and less steep,’ said Richard Seager, a climate scientist at the Lamont-Doherty Earth Observatory of Columbia University. ‘It never stopped.’”	This is another important point to make—there will be periods where the Earth warms less quickly (not every year will be a record year) but the heating of the Earth continues.	
“Since the beginning of the Industrial Revolution, the average pH of global ocean surface waters have fallen from pH 8.2 to 8.1. This represents an increase in acidity of about 26%.”	Correct.	article78.txt
“Entire states and nations have to decide to clean up their energy systems”	This is correct. It cannot be done by only a few nations—it requires collective action to make a substantial difference.	article77.txt
“an individual heatwave triggering coral bleaching cannot be linked to global warming as the process triggering an individual heatwave is fundamentally different from that triggering global warming”	Unfortunately, even under the Paris Agreement, 2016-like heat will be more common*. King et al (2017) Australian climate extremes at 1.5 °C and 2 °C of global warming, Nature Climate Change 	
The amount of energy used to construct solar and wind facilities is greater than they produce in their working lives.	Numbers for “Energy Return on Investment” (EROI) are all over the place, but a nice summary with references to supporting information was produced for Scientific American by Mason Inman for the April 2013 edition of Scientific American. Mason estimated that wind returns about 20 times the energy input and solar around 6 times their energy input. While these numbers do depend on a range of assumptions, the idea that these ratios are less than one is wrong and not defensible. The construction of wind turbines and solar panels does result in some carbon dioxide emission but far less than would be emitted were that electricity generated using fossil fuels such as coal, gas, or oil. Therefore, if the alternative is fossil fuels, these technologies help avoid carbon dioxide emissions. It should be noted that Energy Return on Investment is likely to increase over time as the economy becomes more efficient and thus economic inputs to the production of energy technologies becomes less energy intensive	
” ‘CO2 is going up, but nowhere near as fast as they thought it would. The computer models just weren’t reliable.’ ”	This statement is just plain wrong. Atmospheric CO2 content has recently surpassed 400 ppm and this rate of increase is in line with model projections.	
“Research shows that this process is overpowering the erosion from sea-level rise, leading to net land-area gain. This is not only true for the Marshall Islands. […]several studies have documented noteworthy shoreline progradation [growth] and positional changes of islands since the mid-20th century, resulting in a net increase in island area.”	As wave energy and rising sea levels batter coastlines, the erosional products (i.e. sediments) can either be accreted onto the existing land or removed offshore into the deep ocean. Where the sediment is redistributed depends on a number of factors. Although sediment accretion can increase land area, it does little to change the elevation of low-lying islands, like the Marshall Islands. Therefore, people living in low-lying areas, even if there is historical land area gain, are still susceptible to inundation and damages due to storm waves, higher-than-usual tides (e.g. king tides), and sea level rise. These unconsolidated, loose sediments are also easily mobilized; therefore, localized land area gains by sediment accretion can be very dynamic on short timescales. This article could leave readers thinking that land area gains alone can mitigate the effects of sea level rise on low-lying coastal areas, but land elevation is what is really important.	
“The Northern Hemisphere jet stream […] flow is stronger when that temperature difference is large. But when the Arctic warms up faster than the equator does […] the jet stream’s flow can become weakened and elongated. That’s when you can get the resultant weather extremes.”	This is an accurate and succinct description of the primary hypothesized mechanism involved in the Arctic/mid-latitude weather linkage.	
“In 2004, two NOAA scientists, Richard Feely and Christopher Sabine, produced a chart showing a strong correlation between rising atmospheric CO2 levels and falling oceanic pH levels. But then, just over a year ago, Mike Wallace, a hydrologist with 30 years’ experience, noticed while researching his PhD that they had omitted some key information[…] his results were surprising: there has been no reduction in oceanic pH levels in the last -century.”	This is plain wrong. Oceanic pH levels decreased by 0.1 units compared to pre-industrial levels. This corresponds to a 30% increase in acidity. For a primer on pH, see this NOAA explainer. Peer-reviewed references: Doney et al (2009) Ocean acidification: the other CO2 problem, Annual Review of Marine Science Raven et al (2005) Ocean acidification due to increasing atmospheric carbon dioxide, The Royal Society 	
and increase monthly utility costs for hardworking families	This is unlikely. Other modeled analyses, such as those for the Clean Power Plan, have shown that monthly utility costs would decline under action due to increased energy efficiency investments. See EPA’s regulatory impact analysis.	article63.txt
But each serial adjustment has tended to make the early years colder, which increases the warming trend.	This is absolutely wrong. The adjustments to the global average warming REDUCE the trend, not increase it.	article130.txt
Dr Willie Soon’s comparison of temperature data and water vapour [Figure]	After including a quote about correlation not being equivalent to causation, this figure is an odd inclusion as there is no explanation as to its purpose other than to (apparently) illustrate the correlation between water vapour and temperature.	
	This is only true if you selectively pick studies with low sensitivity. We recently looked at all climate sensitivity studies published using all different methods and found no evidence of an overall decline in estimated ECS in recent years: 	
“Australia’s Great Barrier Reef is one of the world’s greatest reservoirs of biodiversity.  A World Heritage site, it is currently under assault from unusually hot ocean temperatures,”	Note that there is also a possibility that ocean acidification is contributing stress to coral reef systems, making them more susceptible to bleaching from high seawater temperatures.	
