fact_checked_segment	comment_by_fact-checker	article
“CO2 is certainly a heat-trapping greenhouse gas, but hardly the primary one: Water vapor accounts for about 95 percent of greenhouse gases. By contrast, carbon dioxide is only a trace component in the atmosphere: about 400 ppm (parts per million), or 0.04 percent.”	While it is true that carbon dioxide constitutes about 400 ppm (or 0.04%) of the atmosphere, the implication that this means it is insignificant in Earth’s climate is incorrect. It is the ability of a gas to absorb radiation, and so affect energy balance of the Earth, not its concentration, which is important. This effect on Earth’s energy balance can be quantified by the radiative forcing (RF); a positive RF means a surface warming effect and a negative RF a cooling. The figure below, from the 2013 IPCC report shows estimates of RF for a range of factors which have influenced climate from 1750-2011. As can be seen, increasing carbon dioxide concentrations have the largest RF and therefore the largest impact on climate. I also stress that knowledge of the important role of carbon dioxide (despite its low concentration) in Earth’s climate is not new, and dates back to the work of Tyndall, Arrhenius, and others in the 19th century.	article52.txt
“This is happening even as the overall warming of the planet may, by lengthening growing seasons and moistening the atmosphere, further stoke plant growth.”	… note that relative humidity over land, near the surface, is projected to decrease with global warming (i.e., humidity increases more slowly than temperature over land). This has been observed in the past 10-15 years (although the role of variability is still unclear). So “moistening of the atmosphere”, as far as vegetation is concerned, is not accurate (at least globally). See: https://www.climate.gov/news-features/understanding-climate/2013-state-climate-humidity 	article28.txt
“While the United States must remain vigilant to keep the level of real, dangerous pollutants to a minimum, it may take some consolation in the fact that among G7 nations, it has the cleanest air of all.”	Carbon dioxide is a well-mixed greenhouse gas—its concentrations are roughly 407 ppm everywhere across the globe. The national concentration bears absolutely no relevance to the country’s emissions.	article64.txt
“The most dramatic impacts may not be felt for 50 or 100 years.”	While the most dramatic effects may not be felt until 50 to 100 years from now, that does not mean that dramatic impacts will not occur before then.	article56.txt
From 1970 until 1998 there was a warming period that raised temperatures by about 0.7 F that helped spawn the global warming alarmist movement. However, since 1998, little warming has occurred while carbon dioxide emissions continue to increase.	Warming rate from 1970-1998: +0.15 C/decade, 95 % confidence interval +/- 0.06 C/decade. Warming rate from 1998-2018: +0.18 C/decade, 95 % confidence interval +/- 0.09 C/decade. (Calculated with Berkeley Earth). Odds are that warming after 1998 was faster than warming before 1998. Anyone who looks into the data and has basic analysis skills can see this, so they would not even try to imply that 1970-1998 warming was faster than post-1998 warming. The whole article uses tricks like this to invert reality, and will leave readers deeply deceived. 	article124.txt
“Policy makers who want to help the residents of the Marshall Islands today should look at improving the islands’ resilience”	This is a classic technique in Lomborg’s articles: he focuses on one small aspect of climate change – here the Marshall Islands, other times maybe polar bears or heat-related human deaths – that i) he passes off as the main concern about global warming, and ii) that he can provide some seemingly contradictory information about… All the other consequences of global warming are conveniently set aside… Red herring.	article38.txt
“The list of variables that shape climate […] would run to hundreds, if not thousands, of elements, none of which scientists would claim to understand with absolute precision.”	Jacoby is making a laundry list, not trying to understand the issues. He is also confusing the issue by trying to claim that since scientists cannot predict climate change at a given small location at a fixed point in future time that they do not have the ability to generally predict the the future trend. Climate scientists are after the trend. Most of the variables he mentions cause the local climate to deviate to a small extent from the trend. Some, like volcanic activity or El Niño, affect the climate for a small number of years, and then their effect disappears.	
Yes, you read that correctly, three million — million — years ago CO2 levels on Earth were the same as they are today, but there is one major difference between three million years ago and today…	The author writes this as if this is something that is a surprise. We all know that the Earth’s CO2 levels were higher at various times in the past. In the Eocene, 50 million years ago, they may have even been four times as high. This is not an issue. In the past, rates of volcanic CO2 emissions globally were higher as continental spreading rates changed, for example. Saying that CO2 isn’t rising now due to humans just because it used to be high in the past is like saying “I didn’t chop the cherry tree down because 40 years ago there was never a cherry tree there”. It is totally unrelated.	article125.txt
“‘The Arctic may be remote, but changes that occur there directly affect us. The melting of the Greenland ice sheet is already contributing significantly to sea level rise, and new research is highlighting that the melting of Arctic sea ice can alter weather conditions across Europe, Asia and North America.’”	There is indeed observational evidence that melting of the Greenland ice sheet, which contributes to global sea level rise, has accelerated in recent years. While scientists are still intensively investigating the details, it is also true that recent research* suggests that the loss of Arctic sea ice will mostly likely influence weather patterns in mid-latitude regions (including much of Europe, Asia, and North America). Screen (2017) Far-flung effects of Arctic warming, Nature Geoscience 	
“The science is far from settled.”	The basic controls on the climate, sunlight and greenhouse gases, have been understood for over a century and are not disputed. The frontiers of climate research are where the debates lie, as with any branch of science.	article52.txt
“What are the odds that a climate model built on a system that simple would be reliable? Less than 50/50. (Multiplying .95 by itself 15 times yields 46.3 percent.)”	This is absolutely not how prediction skills are and should be measured. Assuming that each variable is given the same weight, the initial error would be of 5%. How this error grows with the prediction is a nontrivial problem, which cannot be explained by kindergarten probabilities, but requires observations, theory and modeling. Moreover, the problem of the predictability of fast weather fluctuations become irrelevant for long-term climate projections of statistics in response to forcing.	article52.txt
Now the states rely on the weather and compete to reach the bottom. South Australia is winning: it has the most unreliable grid in the world outside Africa and the most expensive electricity. When South Australians buy electricity at $14,200/MWh, they are paying the equivalent of $400 a litre for petrol.	Mark Diesendorf, Associate Professor, UNSW Sydney The comments about South Australia are misleading. SA has the same reliability as the rest of the Australian National Electricity Market. On average, SA has always had the highest electricity prices of the Australian states, long before wind power made a significant contribution, because of SA’s high dependence on high-priced natural gas. The growth of wind power has actually reduced the wholesale price of electricity in SA compared with what it would have been in the absence of wind. This is a consequence of the Merit Order Effect: wind and solar can bid into the grid at zero, or close to zero, price, because they have no fuel cost. The figure $14,200/MWh is grossly misleading. It’s the price during a rare peak in demand when supply was low. Similar high peak prices have occurred occasionally in the other states. It’s not typical of SA.	
“What do you say to people who theorize that the Earth as it continues to warm is returning to its normal temperature?”	This is a fallacy, which has been correctly rebutted by Duffy. What matters is that a large increase in global temperatures is problematic for us humans, who have built a civilisation in a relatively stable climate, and which we are now perturbing far outside this stable range.	article121.txt
“The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is. CO2 is colorless, odorless and completely non-toxic. Plants depend on it to live and grow, and human beings draw some into their lungs with every breath they take to no ill effect whatsoever. Growers regularly pump CO2 into greenhouses, raising levels to three times that of the natural environment, to produce stronger, greener, healthier plants.”	This statement is absolutely ridiculous. It violates the most basic, fundamental maxim of toxicology, first articulated by the Renaissance physician Paracelsus: “The dose makes the poison.” Or, “All things are poison and nothing is without poison; only the dose makes a thing not a poison.” In other words, just because a substance at one concentration is harmless does not mean it is harmless at another concentration. We don’t normally think of consumption of water as harmful to humans, but at high enough doses it will kill—and has done so. A pollutant is generally defined as a substance—artificial (synthetic) or natural—that occurs in the environment at least in part because of human activity, and that has a deleterious impact on living systems. Given that basic definition, there is no way that CO2 can not be a pollutant. It is produced by a variety of human activities, but principally burning of fossil fuels. Increases in its concentration are clearly linked to global warming, which has already, and increasingly will, negatively affect living systems, including humans. The only exit from this logic is to deny that CO2 leads to warming (in contradiction to massive scientific evidence) or to deny that warming negatively impacts living systems (again in contradiction to massive evidence). The authors use a classic rhetorical ploy to confound bits of information and draw erroneous conclusions. Yes, at low concentrations CO2 is not directly harmful to humans, and in fact is required by plants. And yes, small increases in CO2 have been shown to increase plant growth. (Some of my own work has shown such; such increases also shift the chemical composition of plant tissues, and not always for the better!). Plants grown under elevated CO2 do grow faster. To my knowledge, there is no evidence that they are “stronger” (whatever that means), and if anything, they are less green. Nor is there convincing evidence they are healthier. If anything, insects consume them more than ambient-CO2 plants.	
Isn’t it time to start ignoring the calamitous annual claims that this is the hottest year on record?	This is again a claim about the annual mean temperature, not about local daily maxima. 2018 was the fourth warmest year. With the last five years being the five warmest years we have a real problem. Putting your head in the sand does not protect what we hold dear.	article124.txt
“Peter Wadhams, professor of ocean physics at the University of Cambridge, predicted ‘global disaster’ from the demise of Arctic sea ice—in four years. He too, is eating crow.”	Indeed. Wadham’s claims have been roundly refuted by the climate science community. They are certainly an example of exaggeration, but to suggest that they somehow represent the scientific mainstream is a great distortion. [See Climate Feedback review of the latest prediction by P. Wadhams]	
Did the Earth experience its highest temperature ever this year? The answer is no.	Does this have any significant bearing on the steadily increasing ocean heat content and annual mean global surface temperature? The answer is no.	article124.txt
[data] show only slight warming, mostly at night and in winter	This is something that is also simulated in climate models (larger warming in the minimum daily temperature than the maximum daily temperature). The article the authors reference tends to focus on smaller spatial scales where natural variability plays a larger role. On a global scale, the seasonal asymmetry in warming rates appears to be small. Taking global GISTEMP trends over 1950 – 2018 the range of trends for all seasons is 0.13 – 0.15 degrees C per decade. Lewis and Karoly (2013) Evaluation of Historical Diurnal Temperature Range Trends in CMIP5 Models, Journal of Climate 	
