fact_checked_segment	comment_by_fact-checker	article
“There was, he said, an ‘inherent bias’ in scientific journals which predisposed them to publish ‘doom and gloom stories’.”	The words “inherent bias” do not appear in my article. Rather, I refer to “publication bias”. In research, an “inherent bias” is one which is inextricably tied to the core nature of the phenomenon being studied and cannot, therefore, be eliminated by increasing the sample size or choosing a different estimator. “Publication bias”, on the other hand, refers to the general (across all of science) phenomenon by which studies presenting positive results – supporting the hypothesis being tested – are more likely to be published than those reporting negative results. This sometimes creates a situation where published studies may be systematically different from unpublished studies – for example, studies showing an impact of ocean acidification might be published more easily and in higher profile journals than studies showing no impact. However, I only allude to this possibility in the introduction; I do not asses it quantitatively (something that would, in fact, be very difficult to do). Finally, the words “doom and gloom” do not appear in my introduction.	article45.txt
With that in mind, they propose a plausible and terrifying “2050 scenario” whereby humanity could face irreversible collapse in just three decades.	Not to downplay the seriousness of what humanity is facing, but the report in fact doesn’t make this claim. While scientists do expect many of the changes to the Earth system due to global heating to be “irreversible,” and while this should be extremely concerning to any reasonable person, it is different than “irreversible human collapse” which, if you think about it, needs unpacking.	
“Higher temperatures, we’re told, will be deadly—killing “thousands to tens of thousands” of Americans”	Whether this is on purpose or not, Mr. Lomborg’s immediate focus on the part of the report dealing with temperature-related deaths makes it sound as if this is the only focus of the report. However, the report also deals with air quality impacts, food safety, extreme events, etc.	
“The good news, scientists said, was that central and southern sections of the reef fared far better, with “only” 6% and 1% of the coral dead, respectively.”	The pattern of warming this year resulted in the highest thermal stress being located in the northern part of the Great Barrier Reef. This can be seen in the coral bleaching products from NOAA’s Coral Reef Watch. Source: NOAA Coral Reef Watch 	
“This will achieve almost nothing. My peer-reviewed research, published last November in the journal Global Policy, shows that even if every nation were to fulfill all their carbon-cutting promises by 2030 and stick to them all the way through the century—at a cost of more than $100 trillion in lost GDP—global temperature rise would be reduced by a tiny 0.3°F (0.17°C).” 	Dr. Lomborg sets out to show that the INDCs [emission reduction pledges] are useless. To do so he grossly misrepresents the pledges. He constructs an incomplete accounting that omits the pledges of many nations, ignores China’s pledge to cap its emissions by 2030, and assumes that the [European Union countries] will abandon their commitment to emissions reductions as soon as their pledges are fulfilled. (find more details in this rebuttal of Lomborg’s paper) 	
The first adjustment changed how the temperature of the ocean surface is calculated, by replacing satellite data with drifting buoys and temperatures in ships’ water intake.	This isn’t what happened. Satellite data was not replaced, it was never there in the first place. Independent satellite data confirmed that the new corrections are solid.1 1- Hausfather et al (2017) Assessing recent warming using instrumentally homogeneous sea surface temperature records, Science Advances 	article130.txt
the data does not support the claim that the United States is hotter than ever as a result of rising Carbon dioxide levels	This would be claim about the average temperature of America and would normally refer to the annual average temperature—that does not follow from summer maximum temperature records.	article124.txt
“Scientists were caught off guard when the true ice conditions were different from their predictions, which took place only months ago…”	The linked article is not about predictions made for Arctic sea ice.	article88.txt
Fifty-five percent of the global population are subject to more than 20 days a year of lethal heat conditions beyond that which humans can survive	This is clearly from Mora et al (2017) although the report does not include a citation of the paper as the source of that statement. The way it is written here (and in the report) is misleading because it gives the impression that everyone dies in those conditions. That is not actually how Mora et al define “deadly heat” – they merely looked for heatwaves when somebody died (not everybody) and then used that as the definition of a “deadly” heatwave.	article127.txt
“At the end of the current paper, the researchers are blunt about the consequences of a continuing loss of oceanic oxygen. ‘Far-reaching implications for marine ecosystems and fisheries can be expected,’ they write.”	It’s true that this is the last sentence of the paper. However, they refer to another study here: Cheung et al (2012) Shrinking of fishes exacerbates impacts of global ocean changes on marine ecosystems. Nature Climate Change. 	
They failed to predict a decadelong [sic] pause in global temperatures.”	Individual runs of individual models did capture such behaviour as has been shown by a wealth of literature on the topic. On a decadal scale, natural variability plays an important role, as can short-lived forcing effects. The scientific community has a substantial understanding of the “pause” and its causes. This understanding builds rather than diminishes confidence in the climate models.	
“the climate models have overestimated the amount of global warming and failed to predict what climatologists call the warming ‘hiatus’”	Except that the report (the paper published in Nature Geoscience) never said that. The paper does not describe modelled warming vs. observations over the “hiatus” period.	
