fact_checked_segment	comment_by_fact-checker	article
The IPCC reports also don’t fully account for the albedo effect (less ice means less reflected and more absorbed sunlight, hence more warming); more cloud cover (which traps heat); or the dieback of forests and other flora (which extract carbon from the atmosphere). Each of these promises to accelerate warming	I am not sure what the author means here. The climate models whose projections the IPCC reports are based on definitely account for the changes in albedo from reduced sea-ice and snow cover as the world warms (although not necessarily changes in glaciers and ice caps extents—e.g. Greenland—which is maybe what the author means here), as well as the effect of changes in clouds (actually, the largest source of uncertainty in climate models projections); most models also now account for changes in vegetation and include an interactive carbon cycle (for instance, how a reduction in forest diminishes the land carbon sink).	
Scientists say halting deforestation ‘just as urgent’ as reducing emissions	The original statement says: halting fossil fuel use, which is different than reducing emissions since e.g. deforestation also leads to emissions.	
“Sea level rise of 65 centimeters, or roughly 2 feet would cause significant problems for coastal cities around the world.”	It should be mentioned that this is a global average. The increase will not be uniform—exacerbating the consequences described below	
“the adjusted data”	It is surprising that, despite adjusted data being the crux of the arguments made here and in the study referred to, the author never explains why one may need to adjust measurements made on the ground or by satellites. There has been significant media coverage recently of some of the adjustments relating to temperature measurements made by satellites. Simply from a practical standpoint, it is beneficial to consider what is involved in sustaining the orbit of a satellite. Once put into orbit, a satellite will slowly “decay” away from its intended orbit as it is pulled nearer to Earth by gravity and other effects. Unless it has its own propulsion to correct for this, it will eventually be pulled out of orbit. This decay affects the exact time of day during which the satellite repeats measurements over one location. For example, from 1995 to 2005, the time of day that a NOAA satellite (NOAA-14) passed over the equator changed by more than 6 hours. The temperature in Quito at 12pm local time versus 6pm local time is quite different, so the satellite measurement must be corrected for this and other effects. More details from this excellent article by Zeke Hausfather.	article68.txt
“Global Ocean Circulation Appears To Be Collapsing Due To A Warming Planet”	I’m a little hesitant about the title. The slowdown of the Atlantic Meridional Overturning Circulation is not the same thing as the “collapse of global ocean circulation”. It might be more accurate to say that the AMOC is at risk of collapsing in a warming world. Also, it’s worth noting that although we understand that there is a connection between AMOC and the amount of carbon dioxide in the atmosphere, the mechanisms involved in this connection are still under investigation.	article72.txt
“the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century”	This figure [0.8°C] is generally accurate. Global average air temperature has increased by just under 1.0ºC, according to NASA Goddard Institute for Space Studies and confirmed by numerous other organizations: Source: NASA GISS However, it is quite disingenuous to suggest that warming the entire atmosphere by this amount is “mild.” Yes, it is a relatively mild adjustment on your home thermostat, increasing the temperature by less than one degree. For Americans, if your home is heated to 65ºF and you increase the temperature by 1ºF, that is equivalent to about a 0.6ºC increase. Heating the amount of air in your home is quite a different matter than heating the entire atmosphere. Just to start, the atmosphere has an approximate mass of 5 x 10^18 kg—that’s 5 quintillion kg or 11 quintillion pounds. In just over 100 years or so, we’ve increased the global air temperature thermostat by a staggering 0.8ºC—and we’re still emitting the greenhouse gases responsible for the warming.	article65.txt
“The Arctic’s carbon bomb might be even more potent than we thought […] methane, a shorter-lived but far harder-hitting gas that could cause faster bursts of warming”	This wording suggests that permafrost melt in the Arctic is an abrupt event. Even the new research referred to here doesn’t put earlier work* fundamentally into question that argued for “a gradual and prolonged release of greenhouse gas emissions in a warming climate”. Shuur et al (2015) Climate change and the permafrost carbon feedback, Nature 	
A “Hothouse Earth” scenario plays out that sees Earth’s temperatures doomed to rise by a further 1°C (1.8°F) even if we stopped emissions immediately.	This word choice perhaps reveals a bias on the part of the author of the article. A temperature can’t be doomed. And while I certainly do not encourage false optimism, assuming that humanity is doomed is lazy and counterproductive.	
“Recent computer forecasts suggest that if greenhouse gas emissions continue at a high level, parts of Antarctica could break up rapidly, causing the ocean to rise six feet or more by the end of this century. That is double the maximum increase that an international climate panel projected only four years ago. But those computer forecasts were described as crude even by the researchers who created them. ‘We could be decades too fast, or decades too slow,’said one of them, Robert M. DeConto of the University of Massachusetts, Amherst. ‘There are still some really big question marks about the trajectory of future climate around Antarctica.’”	This reflects recent research—an important point is that this is about possible future consequences of high emissions, which are hence avoidable if emissions are lower. This is in contrast to the opening sentence and headline, which talk of “unstoppable disintegration” already in progress.	
“In 2013, scientists reached a consensus that three feet was the highest plausible rise by the year 2100. But now some of them are starting to say that six or seven feet may be possible.”	In the 2013 IPCC report, there is a reference period (1986-2005),  there is an assumption of a reference pathway of future emissions, and there is a confidence assigned to the estimate.  That being said, I think the statement is pretty good.  The second sentence is I believe accurate; the work by DeConto and Pollard, building on Pollard et al. (note that I’m involved in this study), for example, points to the possibility of rapid warming triggering rapid sea-level rise.	article34.txt
“And some plants – like algae which use carbon for photosynthesis – may even benefit.”	This sentence is not really wrong but imprecise. First, plants use carbon dioxide (or in the case of aquatic photosynthetic organisms CO2 and often bicarbonate). The term “carbon” is too general. Second, the sentence implies that only some plants use carbon dioxide. I am sure the author is aware that “all” plants use CO2 for photosynthesis.	
“‘Acid’ was chosen, Moore believes, because it has ‘strong negative connotations for most people’.”	The terms acidification was not chosen for its negative connotation but rather because it defines the direction of change. Here is a simple example: when you describe the cooling of your coffee what term do you use? Cooling or un-warming? If the temperature is going down we say it is cooling. If the temperature is going up we say it is warming. The same applies to acidity. When the pH of something goes down we say that it is acidifying. That simple.	article45.txt
“Climate change? Global warming? What do we call it? […]You can think of global warming as one type of climate change. The broader term covers changes beyond warmer temperatures, such as shifting rainfall patterns.”	This is a good way to describe the difference in language. It would also be reasonable to say that global warming (the increase in Earth’s average temperature) causes climate change (shifts in the location/frequency/intensity of weather patterns). In practice, the two terms are often used somewhat imprecisely and interchangeably (even in the scientific literature).	
